Position,Company Name,Location,,,,,,,,
Reporting Specialist,A-LIGN,"Dallas, TX",,,,,1 applicant,Tide Cleaners logo,,
QA Analyst,Tide Cleaners,"Dallas, TX",,,,,,,,
Auto Line Operator,Ecolab,"Garland, TX",,,,,4 applicants,Walmart logo,,
(USA) Staff Pharm (Hrly),Walmart,"Fort Worth, TX",,,,,Dice logo,,,
BA/QA - Life & Annuity,Dice,United States,,,,,,,,
Contact Center Solutions Consultant,Genesis10,"Dallas, TX",,,,,,,,
Product Associate,"Westwood Holdings Group, Inc.","Dallas, TX",,,,,Fisher Investments logo,,,
Infrastructure Systems Associate,Fisher Investments,"Plano, TX",,,,,Dice logo,,,
QA Lead,Dice,United States,,,,,,,,
Sr. Associate - Projects,Cognizant,"Dallas, TX",,,,,ClearanceJobs logo,,,
"Manufacturing Planner Associate / Arlington, TX with Security Clearance",ClearanceJobs,"Arlington, TX",,,,,Fisher Investments logo,,,
Infrastructure Systems Associate,Fisher Investments,"Plano, TX",,,,,"Berry Global, Inc. logo",,,
Inspector Packer - Day & Night Shifts,"Berry Global, Inc.","Dallas, TX",,,,,Open Systems Technologies logo,,,
Jr Program Manager,Open Systems Technologies,"Irving, TX",,,,,Dice logo,,,
QA Lead with SEO,Dice,"Dallas, TX",,,,,0 applicants,Dice logo,,
QA Analysts with AWS connect,Dice,United States,,,,,J.D. Power logo,,,
Market Research Senior Associate,J.D. Power,United States,,,,,,,,
Talent Acquisition Team Lead,Korn Ferry,United States,,,,,Dice logo,,,
NF Test Specialist,Dice,"Dallas, TX",,,,,Dice logo,,,
Performance Tester- REMOTE- SECRET Clearance,Dice,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,{:companyName} logo,,,
Warehouse Management System Analyst - 1st Shift,"Fort Worth, TX",On-site,,,,,Bank of America logo,,,
Performance Test Engineer,Bank of America,"Plano, TX",,,,,,,,
Scrum Master,Dice,"Irving, TX",,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Rep II Benefits Setup,CVS Health,United States,,,,,TreeHouse Foods logo,,,
Associate Quality Specialist,TreeHouse Foods,"Carrollton, TX",,,,,Dice logo,,,
Technical Writer,Dice,"Dallas, TX",,,,,"SWC Group, LP logo",,,
Customer Service Representative,"SWC Group, LP","Carrollton, TX",,,,,Invitation Homes logo,,,
"Intern, Software Engineering",Invitation Homes,"Dallas, TX",,,,,,,,
Business Systems Analyst,Texas Capital Bank,"Richardson, TX",,,,,Model N logo,,,
Associate Consultant - New College Graduates,Model N,United States,,,,,,,,
Project Coordinator- Remote,Dice,United States,,,,,Classy.org logo,,,
Technical Support Engineer I,Classy.org,United States,,,,,Dice logo,,,
Oracle QA Analyst,Dice,United States,,,,,Loloi Rugs logo,,,
Textile Testing and Quality Assurance Analyst,Loloi Rugs,"Dallas, TX",,,,,13 applicants,Easy Apply,Pioneer Natural Resources Company logo,
Revenue Accounting Analyst (Range),Pioneer Natural Resources Company,"Irving, TX",,,,,,,,
Arabic Part-Time Linguistic QA Tester (Remote - US based),Welocalize,United States,,,,,,,,
Urdu (Pakistan) Part-Time Linguistic QA Tester (Remote - US Based),Welocalize,United States,,,,,Classy.org logo,,,
Technical Support Engineer I,Classy.org,United States,,,,,RightNow Media logo,,,
Scrum Master,RightNow Media,"McKinney, TX",,,,,,,,
Associate Technical Writer,knoellUSA,United States,,,,,,,,
QA Engineer,Texas Capital Bank,"Richardson, TX",,,,,{:companyName} logo,,,
Quality Assurance Analyst,"Irving, TX",On-site,,,,,,,,
Business Analyst,MedeAnalytics,"Richardson, TX",,,,,Quest Diagnostics logo,,,
Rep Anatomic Path Support II (Oncall),Quest Diagnostics,"Irving, TX",,,,,0 applicants,Dice logo,,
Big Data Tester,Dice,"Irving, TX",,,,,,,,
Purchasing and Sourcing Specialist,Foundry,"Dallas, TX",,,,,Lamps Plus logo,,,
Remote Customer Support Specialist-Georgia,Lamps Plus,United States,,,,,Dice logo,,,
Workday Systems Analyst - Remote,Dice,United States,,,,,Elevate logo,,,
Security Operations Analyst,Elevate,United States,,,,,,,,
Coordinator - UM Member Call Center Bilingual English/Spanish (Remote),Talentify.io,United States,,,,,,,,
"Product Analyst, Corporate",Grubhub,United States,,,,,CVS Health logo,,,
Client Benefit Representative,CVS Health,United States,,,,,PwC logo,,,
Digital Products - DevOps - Senior Associate,PwC,"Fort Worth, TX",,,,,Dice logo,,,
Senior Quality Analyst,Dice,"Coppell, TX",,,,,0 applicants,Raising Cane&#39;s Chicken Fingers logo,,
Product Testing Specialist,Raising Cane's Chicken Fingers,"Plano, TX",,,,,0 applicants,The University of Texas at Dallas logo,,
Testing Center Associate,The University of Texas at Dallas,"Richardson, TX",,,,,11 applicants,TMX Finance Family of Companies logo,,
Compliance Analyst,TMX Finance Family of Companies,"Carrollton, TX",,,,,,,,
Compliance Analyst,TMX Finance Family of Companies,"Carrollton, TX",,,,,,,,
Field Analyst - Cloud Subscription Management (Remote),Oracle,United States,,,,,"LanceSoft, Inc. logo",,,
Planview System Administrator,"LanceSoft, Inc.","Dallas, TX",,,,,VetJobs logo,,,
Quality Specialist - Healthcare - Remote US,VetJobs,United States,,,,,,,,
Warehouse Operator,The Coca-Cola Company,"Fort Worth, TX",,,,,5 applicants,{:companyName} logo,,
Call Center Customer Service Rep - start 2/14/2022,"Fort Worth, TX",On-site,,,,,,,,
Instructional Technologist,Western Governors University,"Dallas, TX",,,,,CoreLogic logo,,,
Professional Quality Management,CoreLogic,"Irving, TX",,,,,,,,
Scrum Master,Texas Capital Bank,"Richardson, TX",,,,,Interstate Batteries logo,,,
ED 18 Testing Associate,Interstate Batteries,"Dallas, TX",,,,,PwC logo,,,
Digital Products - Associate Product Manager - Sr. Associate,PwC,"Dallas, TX",,,,,4 applicants,{:companyName} logo,,
Associate Customer Experience Representative \/Office Administrator\/Receptionist,"Fort Worth, TX",On-site,,,,,,,,
Jr Peoplesoft Developer - REMOTE,Atrilogy Solutions Group,United States,,,,,,,,
Email Marketing Specialist,Dallas Market Center,"Dallas, TX",,,,,,,,
Administrative Assistant,Sheana Silvertooth-Realtor,"Keller, TX",,,,,Easy Apply,Neiman Marcus Group logo,,
"Associate Product Manager, Customer Identity",Neiman Marcus Group,"Irving, TX",,,,,"LanceSoft, Inc. logo",,,
Automation Tester,"LanceSoft, Inc.","Frisco, TX",,,,,{:companyName} logo,,,
Customer Service Representative - Roadside Assistance,"Fort Worth, TX",1 month ago,,,,,,,,
Quality Control Specialist - DFW Airport,JBT Corporation,"Dallas, TX",,,,,Talentify.io logo,,,
"Product Analyst, Payment Accuracy - Remote (Anywhere US)",Talentify.io,United States,,,,,,,,
"Talent Acquisition Partner - Tech (Spanish Speaking, Remote USA)",Cision,United States,,,,,Hunter Recruitment Advisors (HRA) logo,,,
Director of Recruiting Operations,Hunter Recruitment Advisors (HRA),Dallas-Fort Worth Metroplex,,,,,1 week ago,Easy Apply,Globe Life logo,
Insurance Verification Specialist - Remote/At Home Work,Globe Life,"McKinney, TX",,,,,{:companyName} logo,,,
Client Services Representative I,"Fort Worth, TX",On-site,,,,,,,,
Insurance Verification Specialist - Remote/At Home Work,Globe Life,"McKinney, TX",,,,,The Seat Shop logo,,,
Quality Assurance Specialist,The Seat Shop,"Plano, TX",,,,,5 applicants,Homepoint logo,,
Business Systems Analyst (FULLY REMOTE),Homepoint,"Dallas, TX",,,,,,,,
Quality Assurance Specialist,Service Experts Heating & Air Conditioning,"Richardson, TX",,,,,Best Buy logo,,,
Quality Assurance Administrator,Best Buy,"Flower Mound, TX",,,,,Brown Paper Goods logo,,,
Quality Specialist,Brown Paper Goods,"Coppell, TX",,,,,Easy Apply,Globe Life logo,,
Remote Customer Service Representative,Globe Life,"McKinney, TX",,,,,"LanceSoft, Inc. logo",,,
QA Engineer,"LanceSoft, Inc.","Dallas, TX",,,,,,,,
Salesforce Administrator/Developer,O'Reilly Media,United States,,,,,,,,
Innovation Analyst,Analytical Flavor Systems Inc.,United States,,,,,Easy Apply,Bio-Rad Laboratories logo,,
Technical Writer,Bio-Rad Laboratories,"Plano, TX",,,,,,,,
Workday Tester,eTeam,"Frisco, TX",,,,,Bank of America logo,,,
Senior QA Automation Specialist,Bank of America,"Plano, TX",,,,,,,,
Business Analyst- Child Support,Dice,United States,,,,,,,,
Paid Search Specialist,All Points North Lodge,United States,,,,,1 week ago,15 applicants,Dice logo,
QA Engineer,Dice,United States,,,,,,,,
"Project Manager HR, Advisor",CVS Health,United States,,,,,,,,
"Professional, Quality Management",CoreLogic,"Irving, TX",,,,,,,,
Quality Assurance Specialist,DriveTime,"Fort Worth, TX",,,,,6 applicants,Builders FirstSource logo,,
AP Document Coordinator,Builders FirstSource,"Dallas, TX",,,,,1 applicant,The Coca-Cola Company logo,,
"Production Technician (2nd Shift, 1p-9:30p, $21 Hourly + Shift Diff Pay)",The Coca-Cola Company,"Dallas, TX",,,,,Dice logo,,,
QA Automation,Dice,United States,,,,,Loloi Rugs logo,,,
Textile Testing and Quality Compliance Analyst,Loloi Rugs,"Dallas, TX",,,,,3 weeks ago,4 applicants,Murata logo,
Quality Assurance Engineer,Murata,"Dallas, TX",,,,,0 applicants,Dice logo,,
Business Analyst,Dice,"Dallas, TX",,,,,Dice logo,,,
Salesforce Functional Tester/Salesforce Tester/Salesforce QA/Salesforce QA Lead,Dice,"Dallas, TX",,,,,,,,
Systems Analyst 2,Public Consulting Group,United States,,,,,Talentify.io logo,,,
Sales Specialist (Work From Home),Talentify.io,United States,,,,,,,,
HIV Testing Counselor,AIDS Healthcare Foundation,"Dallas, TX",,,,,,,,
Business System Analyst,Canoo,"Justin, TX",,,,,Dice logo,,,
Sr. Email Specialist,Dice,United States,,,,,Signet Jewelers logo,,,
Pricing and Promotions Analyst,Signet Jewelers,"Irving, TX",,,,,2 applicants,ClearanceJobs logo,,
Data Product Quality and Integration Engineer - Entry Level with Security Clearance,ClearanceJobs,"Fort Worth, TX",,,,,Charles Schwab logo,,,
Event & Production Services Specialist,Charles Schwab,"Westlake, TX",,,,,,,,
Functional Tester- REMOTE- SECRET Clearance,Dice,United States,,,,,,,,
Business Systems Analyst,Abbott,"Plano, TX",,,,,3 applicants,Aimbridge Hospitality logo,,
Hotel (F&B) Purchasing Coordinator,Aimbridge Hospitality,"Dallas, TX",,,,,2 applicants,"PTC Therapeutics, Inc. logo",,
"Contract, Quality Management Systems - Document Control","PTC Therapeutics, Inc.",United States,,,,,,,,
Jr. Web Developer,Offensive Security,United States,,,,,,,,
Web Coordinator - Graduate Hotels,Graduate Hotels,United States,,,,,Jobs via eFinancialCareers logo,,,
Test Analyst,Jobs via eFinancialCareers,"Dallas, TX",,,,,,,,
Business Analyst,"Fort Worth, TX",On-site,,,,,,,,
Insurance Coordinator,Fresenius Medical Care North America,"Dallas, TX",,,,,5 applicants,Dice logo,,
Sr QA,Dice,United States,,,,,Jobs via eFinancialCareers logo,,,
2022 Graduate Program - Financial Services Solutions - Business Analyst,Jobs via eFinancialCareers,"Dallas, TX",,,,,,,,
Security Analyst,VENZA,United States,,,,,Affirm logo,,,
Quality Assurance Specialist - Risk Operations,Affirm,"Dallas, TX",,,,,,,,
Operational Oversight and Audit Support Lead,Bank of America,"Addison, TX",,,,,,,,
Associate Software Quality Engineer,"Vizient, Inc","Irving, TX",,,,,,,,
Automation QA Lead,EVRY India,"Dallas, TX",,,,,"Arena Pharmaceuticals, Inc. logo",,,
Regulatory Compliance Document Specialist,"Arena Pharmaceuticals, Inc.",United States,,,,,Dice logo,,,
Business Systems Analyst II,Dice,"Arlington, TX",,,,,Maximus logo,,,
Customer Service Representative (Remote) - CDC Vax,Maximus,United States,,,,,,,,
Integrations Specialist,QuinStreet,United States,,,,,"LanceSoft, Inc. logo",,,
Quality Engineer,"LanceSoft, Inc.","Dallas, TX",,,,,,,,
Coding & Document Denials Analyst,Texas Health Resources,"Arlington, TX",,,,,CO-OP Financial Services logo,,,
Contact Center Lead Agent,CO-OP Financial Services,"Fort Worth, TX",,,,,Stryker logo,,,
"Associate Mako Product Specialist- Sulphur Springs, Texas",Stryker,"Dallas, TX",,,,,2 applicants,Bolt logo,,
Marketing Operations Sr. Associate,Bolt,United States,,,,,HCA Healthcare logo,,,
OR Inventory Specialist,HCA Healthcare,"Dallas, TX",,,,,VENZA logo,,,
Senior Security Analyst,VENZA,United States,,,,,{:companyName} logo,,,
Customer Care Specialist,"Fort Worth, TX",$34K/yr - $53K/yr (LinkedIn est.),,,,,,,,
Laboratory Supervisor,GeneIQ,"Dallas, TX",,,,,Project Management Institute logo,,,
Application Developer I,Project Management Institute,United States,,,,,,,,
Quality Assurance Consultant,Dice,"Plano, TX",,,,,GovCIO logo,,,
Cloud Native Tester (Remote),GovCIO,United States,,,,,Pactera EDGE logo,,,
MOD – TTS Voice Testing – English (US),Pactera EDGE,United States,,,,,,,,
App Test - Jr Manual Test Analyst,Disability Solutions,"Plano, TX",,,,,,,,
Call Quality Analyst,Osborne Homes,United States,,,,,,,,
Production Supervisor,Richemont,"Grand Prairie, TX",,,,,,,,
"Associate, Addressable Activation",Matterkind,United States,,,,,Apex Systems logo,,,
Project Coordinator,Apex Systems,"Irving, TX",,,,,1 month ago,Dice logo,,
Workday Integration Developer -- Fully Remote,Dice,United States,,,,,Better Business Bureau (BBB) serving the Heart of Texas logo,,,
Data Integrity Specialist,Better Business Bureau (BBB) serving the Heart of Texas,"Fort Worth, TX",,,,,,,,
QC Clerk,Superior Group of Companies,"Dallas, TX",,,,,3 weeks ago,1 applicant,Globe Life logo,
Part-time Insurance Verification Specialist - Remote/At Home Work,Globe Life,"McKinney, TX",,,,,WEX logo,,,
Data analysis QA Automation Engineer,WEX,United States,,,,,,,,
Rooms Inspector,Aimbridge Hospitality,"Fort Worth, TX",,,,,0 applicants,Jobs via eFinancialCareers logo,,
Operations Analysis Analyst,Jobs via eFinancialCareers,"Dallas, TX",,,,,,,,
Quality Control Coordinator I,Inogen,"Plano, TX",,,,,"Vizient, Inc logo",,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,,,,
Remote Customer Support Specialist-Florida,Lamps Plus,United States,,,,,Sonoco logo,,,
Production Technician,Sonoco,"Irving, TX",,,,,4 applicants,Intuit logo,,
Risk Operations Business Analyst,Intuit,"Plano, TX",,,,,,,,
Email Producer,Blueprint Test Prep,United States,,,,,,,,
Warehouse Stocker,KeHE Distributors,"Dallas, TX",,,,,0 applicants,Lee Enterprises logo,,
Onboarding Developer - Remote,Lee Enterprises,United States,,,,,9 applicants,ARTERIORS Home logo,,
"Quality Control, Replacements",ARTERIORS Home,"Lewisville, TX",,,,,5 months ago,Alkami Technology logo,,
Associate Technical Consultant,Alkami Technology,"Plano, TX",,,,,,,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,,,,
Remote Customer Support Specialist-Florida,Lamps Plus,United States,,,,,Sonoco logo,,,
Production Technician,Sonoco,"Irving, TX",,,,,4 applicants,Intuit logo,,
Risk Operations Business Analyst,Intuit,"Plano, TX",,,,,,,,
Email Producer,Blueprint Test Prep,United States,,,,,,,,
Warehouse Stocker,KeHE Distributors,"Dallas, TX",,,,,0 applicants,Lee Enterprises logo,,
Onboarding Developer - Remote,Lee Enterprises,United States,,,,,9 applicants,ARTERIORS Home logo,,
"Quality Control, Replacements",ARTERIORS Home,"Lewisville, TX",,,,,5 months ago,Alkami Technology logo,,
Associate Technical Consultant,Alkami Technology,"Plano, TX",,,,,Lookout logo,,,
Quality Assurance Engineer,Lookout,United States,,,,,,,,
Global Services Consultant,Altair Global,"Frisco, TX",,,,,Samsung Electronics America logo,,,
"Professional, Software Quality Assurance (mult.)",Samsung Electronics America,"Plano, TX",,,,,3 applicants,Dice logo,,
Network QA engineer,Dice,"Plano, TX",,,,,ClearanceJobs logo,,,
"Inspector - Shipping & Receiving / Grand Prairie, TX with Security Clearance",ClearanceJobs,"Grand Prairie, TX",,,,,Dice logo,,,
Operations System Analyst,Dice,United States,,,,,Suddath International logo,,,
EHS & QA Clerk,Suddath International,"Coppell, TX",,,,,Lamps Plus logo,,,
Remote Customer Support Specialist-Nevada,Lamps Plus,United States,,,,,23 applicants,Dice logo,,
Image Analyst / Image Editor,Dice,United States,,,,,,,,
HEDIS QA,Dice,United States,,,,,Dice logo,,,
SAP Test Lead - Full Time - 100% Remote,Dice,"Plano, TX",,,,,,,,
Customer Support Engineer,Community Gaming,United States,,,,,Lamps Plus logo,,,
Remote Customer Support Specialist-South Dakota,Lamps Plus,United States,,,,,20 applicants,Sardine logo,,
Technical Writer,Sardine,United States,,,,,,,,
Associate III - BPM,UST,"Dallas, TX",,,,,,,,
Remote Team Lead - FMLA Customer Support,ComPsych,United States,,,,,,,,
Remote Customer Support Specialist-Oregon,Lamps Plus,United States,,,,,"United Surgical Partners International, Inc logo",,,
Quality Specialist,"United Surgical Partners International, Inc","Trophy Club, TX",,,,,Welocalize logo,,,
Basque Part-Time Linguistic QA Tester,Welocalize,United States,,,,,,,,
Analytics Coordinator,Rain the Growth Agency,United States,,,,,,,,
Remote Customer Service Specialist-Oregon,Lamps Plus,United States,,,,,{:companyName} logo,,,
Aircraft Records Analyst,"Dallas, TX",On-site,,,,,,,,
Work from Home Customer Service Representative,Globe Life,"McKinney, TX",,,,,,,,
Quality Assurance Analyst,Lightbeam Health Solutions,"Irving, TX",,,,,Huntington National Bank logo,,,
QA Analyst Lead,Huntington National Bank,United States,,,,,,,,
Scrum Master,Texas Capital Bank,"Richardson, TX",,,,,Bankers Healthcare Group logo,,,
Junior QA Engineer,Bankers Healthcare Group,United States,,,,,{:companyName} logo,,,
Activity Coordinator/ Leasing Consultant - Affordable,"Irving, TX",On-site,,,,,,,,
QA with API/Web service testing,Dice,United States,,,,,Omnicom Media Group logo,,,
"Assistant Strategist, Search",Omnicom Media Group,"Dallas, TX",,,,,,,,
Salesforce Testing,Dice,United States,,,,,KeHE Distributors logo,,,
Warehouse Stocker - Freezer/Cooler,KeHE Distributors,"Dallas, TX",,,,,0 applicants,Dice logo,,
QA Automation Analysts,Dice,United States,,,,,GuideOne Insurance logo,,,
"Quality Assurance Analyst, Underwriter",GuideOne Insurance,"Dallas, TX",,,,,,,,
"Professional, Quality Management",CoreLogic,"Irving, TX",,,,,,,,
Account Executive,Targetbase,"Irving, TX",,,,,Dice logo,,,
Healthcare Data Analyst,Dice,United States,,,,,Ball Corporation logo,,,
Customer Seamer Equipment Representative - Texas,Ball Corporation,"Fort Worth, TX",,,,,,,,
QA Inspector,"Plano, TX",On-site,,,,,,,,
Continuous Improvement Manager,Sherwin-Williams,"Garland, TX",,,,,Collabera Inc. logo,,,
QA Project Manager,Collabera Inc.,"Irving, TX",,,,,,,,
QA Technician I,Incora,"Roanoke, TX",,,,,3 applicants,Westwood Professional Services logo,,
Survey Technician,Westwood Professional Services,"Plano, TX",,,,,,,,
Software Engineer (Full Stack – Automation,U.S. Bank,"Irving, TX",,,,,,,,
MS Dynamics CRM Tester (QA),Dice,United States,,,,,Dice logo,,,
Technical Writer (100% Remote + 4-day Work Week),Dice,United States,,,,,,,,
Sampling and Test Development Specialist I,"Garland, TX",On-site,,,,,,,,
Warranty Coordinator,VeraLuxHomes,Dallas-Fort Worth Metroplex,,,,,TEGNA logo,,,
Digital Campaign Specialist,TEGNA,"Dallas, TX",,,,,"Dynatron Software, Inc. logo",,,
Product Associate,"Dynatron Software, Inc.","Dallas, TX",,,,,CVS Health logo,,,
Representative II Benefits Setup,CVS Health,United States,,,,,CVS Health logo,,,
Representative II Benefits Setup,CVS Health,United States,,,,,Dice logo,,,
ServiceNow Administrator,Dice,United States,,,,,Dice logo,,,
Scrum Master,Dice,"Dallas, TX",,,,,{:companyName} logo,,,
"An, Customer Contact Center Team Lead","Dallas, TX",On-site,,,,,,,,
Training and Organization Change Management Lead,VertexOne,United States,,,,,Guaranteed Rate logo,,,
Mortgage Risk Analyst,Guaranteed Rate,United States,,,,,,,,
Workday Configuration Analyst,Snap Inc.,United States,,,,,5 applicants,Samsung Electronics America logo,,
"Engineer II, Software Process Engineering",Samsung Electronics America,"Plano, TX",,,,,,,,
Senior Automation Engineer QA/ Test,Dice,"Irving, TX",,,,,0 applicants,Vistra Corp. logo,,
Deal Change Analyst,Vistra Corp.,"Irving, TX",,,,,Easy Apply,Group O logo,,
Quality Auditor,Group O,"Roanoke, TX",,,,,,,,
eCommerce Operations Coordinator,"Fossil Group, Inc.","Richardson, TX",,,,,Kelly logo,,,
Technical Support Representative - Remote,Kelly,"Irving, TX",,,,,3 weeks ago,16 applicants,Lamps Plus logo,
Remote Sales Consultant,Lamps Plus,United States,,,,,,,,
ERP Applications Analyst - Will Sponsor - M,Dice,"Westlake, TX",,,,,,,,
QA RAPS Coder (REMOTE),Emergent Holdings,United States,,,,,Texas Capital Bank logo,,,
Sr Business Analyst,Texas Capital Bank,"Richardson, TX",,,,,ClearanceJobs logo,,,
Associate Project Manager USDC (Secret) CTJ with Security Clearance,ClearanceJobs,"Las Colinas, Texas, United States",,,,,AM LLC logo,,,
"Contact Center System Administrator - (Remote, US)",AM LLC,United States,,,,,CVS Health logo,,,
Enterprise Digital Leadership Program- Design Engineer,CVS Health,"Irving, TX",,,,,,,,
Marketing Automation Specialist,RightNow Media,"McKinney, TX",,,,,2 applicants,Collabera Inc. logo,,
scrum master,Collabera Inc.,"Dallas, TX",,,,,,,,
Application Developer I,Project Management Institute,United States,,,,,Project Management Institute logo,,,
Application Developer I,Project Management Institute,United States,,,,,Smarking Inc. logo,,,
Implementation Specialist,Smarking Inc.,United States,,,,,Cinemark logo,,,
Digital Communication Specialist,Cinemark,"Plano, TX",,,,,Bolt logo,,,
Technical Writer,Bolt,United States,,,,,PAM Health logo,,,
*Contract Analyst | PAM Health Plano,PAM Health,"Plano, TX",,,,,,,,
Avaya Network Engineer,Dice,United States,,,,,CoreLogic logo,,,
Professional Quality Management,CoreLogic,"Irving, TX",,,,,,,,
Automated QA Analyst - Mobile Applications ($5K Signing Bonus),Dice,United States,,,,,ExamWorks logo,,,
Case Coordinator (Medical Records),ExamWorks,"Dallas, TX",,,,,Peterbilt Motors Company logo,,,
Mechanical Engineer Job,Peterbilt Motors Company,"Denton, TX",,,,,,,,
QA Automation tester ( Selenium) - 100% Remote,Dice,United States,,,,,,,,
Travel Business Analyst,Internova Travel Group,United States,,,,,,,,
Professional Quality Management,CoreLogic,"Irving, TX",,,,,,,,
Business Acceptance Tester,"Fort Worth, TX",On-site,,,,,,,,
Lab II Asst,Quest Diagnostics,"Lewisville, TX",,,,,TimelyMD logo,,,
Product Support Analyst,TimelyMD,"Dallas, TX",,,,,Dice logo,,,
Quality and Performance Analyst,Dice,United States,,,,,,,,
CX Product Implementation Associate,Stitch Fix,United States,,,,,,,,
QA Lead with Content Management,Dice,United States,,,,,Clinical Ink logo,,,
Technical Writer,Clinical Ink,United States,,,,,,,,
Host,Hooters of America,"Denton, TX",,,,,Fresenius Medical Care North America logo,,,
Insurance Coordinator,Fresenius Medical Care North America,"Dallas, TX",,,,,1 applicant,TMB (Trusted Media Brands)  logo,,
Wordpress Developer,TMB (Trusted Media Brands),United States,,,,,,,,
Consumer Compliance & Operational Risk Manager,Bank of America,"Plano, TX",,,,,,,,
Quality Assurance Inspector,Callaway Golf,"Fort Worth, TX",,,,,"LanceSoft, Inc. logo",,,
"Analyst/Developer (SAP, PS, other specialty)","LanceSoft, Inc.","Allen, TX",,,,,"Teaching Strategies, LLC logo",,,
Senior Systems Analyst,"Teaching Strategies, LLC","Dallas, TX",,,,,Quest Diagnostics logo,,,
Lab II Asst,Quest Diagnostics,"Lewisville, TX",,,,,UnitedHealthcare logo,,,
Regulatory Affairs Analyst - Telecommute,UnitedHealthcare,"Richardson, TX",,,,,,,,
MDM tester,"Pyramid Consulting, Inc","Irving, TX",,,,,Dave &amp; Buster&#39;s Inc. logo,,,
CRM & Loyalty Marketing Associate,Dave & Buster's Inc.,"Dallas, TX",,,,,Dice logo,,,
ETL Testing,Dice,United States,,,,,AlphaSights logo,,,
"Remote QA Specialist, Transcription",AlphaSights,United States,,,,,,,,
Technical Support Representative - Remote,Kelly,"Grand Prairie, TX",,,,,3 weeks ago,5 applicants,Smarking Inc. logo,
Technical Support Specialist,Smarking Inc.,United States,,,,,,,,
Sr. QA Engineer,Charles Schwab,"Westlake, TX",,,,,Amdocs logo,,,
SW Test Specialist,Amdocs,"Dallas, TX",,,,,1 week ago,1 applicant,Upstart logo,
"Compliance Associate, Lending Partnerships",Upstart,United States,,,,,{:companyName} logo,,,
Quality Assurance Coordinator,"Garland, TX",On-site,,,,,,,,
Academic Program Scheduler,National University,United States,,,,,Dice logo,,,
Business Analyst,Dice,United States,,,,,Ecolab logo,,,
Food Safety and Brand Standard Specialist,Ecolab,"Dallas, TX",,,,,,,,
"CNC Setup Operator, Milling",OsteoMed,"Addison, TX",,,,,,,,
Quality Assurance Coordinator,"Garland, TX",On-site,,,,,,,,
"Associate Director, Regulatory Affairs, CMC",Ultragenyx Pharmaceutical Inc.,United States,,,,,5 applicants,Flowserve Corporation logo,,
SEO Strategist,Flowserve Corporation,"Irving, TX",,,,,{:companyName} logo,,,
Information Security Policy Adherence Assessment Compliance and Operational Risk Specialist,"Dallas, TX",On-site,,,,,,,,
QA Analyst,Orangetheory Fitness,United States,,,,,"Advantage Solutions: Sales, Marketing, Technology logo",,,
Data Coordinator,"Advantage Solutions: Sales, Marketing, Technology","Dallas, TX",,,,,1 month ago,1 applicant,Alector logo,
Senior Regulatory Document Quality Specialist,Alector,United States,,,,,,,,
Senior HR Technology Analyst,SailPoint,United States,,,,,Dice logo,,,
Business Systems Analyst - REMOTE,Dice,United States,,,,,Texas Capital Bank logo,,,
Systems Analyst - Consumer Digital Bank,Texas Capital Bank,"Richardson, TX",,,,,Vending Concepts logo,,,
Web Content Administrator,Vending Concepts,"Fort Worth, TX",,,,,,,,
Athena EMR Junior Technology Associate,WelbeHealth,United States,,,,,Keurig Dr Pepper Inc. logo,,,
Network Sales Analyst,Keurig Dr Pepper Inc.,"Frisco, TX",,,,,1 week ago,6 applicants,EC-Council logo,
Cyber Security Instructor,EC-Council,United States,,,,,IRL - Do More Together logo,,,
Quality Assurance Analyst,IRL - Do More Together,United States,,,,,Dice logo,,,
Quality Engineer,Dice,"Dallas, TX",,,,,Avantor logo,,,
Administrative Assistant,Avantor,"Irving, TX",,,,,GI Alliance logo,,,
Quality Programs Support I PT (25835),GI Alliance,"Dallas, TX",,,,,,,,
Technical Sourcer,Red Oak Technologies,United States,,,,,Easy Apply,Devoted Health logo,,
Payment Integrity: Quality /Compliance Auditor,Devoted Health,United States,,,,,,,,
LIMS Administrator (Dallas Water),City of Dallas,"Downtown Dallas, Texas, United States",,,,,ResultsCX logo,,,
"Manager, Account Training",ResultsCX,United States,,,,,,,,
Quality Measure and Reporting Specialist,GenesisCare,United States,,,,,,,,
